"Player Id","Ign","Team"
12282,"Akame","Alpha Six Gaming"
18248,"AkaneAkai","C&S Team"
2265,"akanorf","ET ELLER ANDET FEDT"
10585,"Akantix","OnPointGaming Purple"
2127,"akaone","Average20"
8878,"Akar1","Team Mystery"
6337,"Akarou21","Simple"
18722,"Akaryss","OESTE FWT"
12,"akashi","CERBERUS Esports"
12697,"AkashiNZ",""
3002,"akemy","LAZER"
6228,"akemyziNho",""
8000,"aki","IGP Alpha"
3807,"Aki","VipesAnimeCrew"
11224,"akiko","UNLUCKY"
1213,"akim","SETOUCHI ENLIFE"
12945,"AKIMB0","AXIBYTE Esports"
8665,"Akimbo","LGI"
16685,"Akin","For Fun"
4769,"Akinci","ANKA E-Sports"
2615,"akioni","Crest Gaming DWFN"
11921,"Akira","boosted"
15082,"Akira","NoPraccBoiz"
2332,"aKis","Stay Small, Stay Second."
17903,"Akk1","NBD Esports"
8896,"akki","Dobrya4ki"
1744,"Akki","Yoooo"
14673,"aklise","RDP Esports"
6356,"aKm",""
10984,"aKoOo","Levitate"
15433,"AKPOWER","KnockOut Esports"
1002,"Akraken",""
16028,"AkrapoviC","LFB"
5882,"akt","seleção"
10797,"Aktagon","mcchicken"
15316,"aku ","BCH"
14403,"Akua","tr0nch0m0ch0s"
3914,"Akula","Team Name"
12155,"Akuma","OES Solo"
981,"AKUMAAAAA","Team BDS"
15109,"akumeni","rööcivarkaat"
4027,"akuoS",""
16979,"AKV aninha","DINORAWR"
6657,"akvub","EMPEROR"
14945,"akwai","Born to win"
5868,"Akxshi","LEOMERCEARIASS"
13695,"Akyes","EaglePAW"
1656,"akz",""
1190,"al0rante","Team Heretics"
7737,"al1en","notbuiltdif"
520,"Al1n","Less Than 3 Viewers"
17733,"AL3XANDRAS","Devils.one Female"
641,"AL3XANDRAS (deleted)",""
1923,"Al4m",""
13721,"Alaca","Mental Zero"
10720,"alafan","BursaEspor"
9880,"alahdin","ARROZ DE VOVO"
1628,"alain","Aspire"
12555,"Alanasa","Team QuestionMark TR"
15977,"Alanishj"," Legion de Reconocimiento"
8463,"Alanoiddd","Collateral eSports"
15242,"AlanTheTraitor","To Da Crib"
11397,"alanzinpokas","pão com mumu"
4425,"Alas","Cyberhounds"
3260,"Alay","Zwan Gaming"
2255,"alayL1","FFQ"
7071,"aLb","ACEit Esports"
5849,"alban0","sovietic"
7300,"Albert","Equipe"
10188,"Alberthaha (deleted)",""
16161,"Albertooo","SHINY"
17096,"albus","Trinity Five"
3424,"alca","Movistar Optix"
15473,"Alcatraz","Error404"
10732,"alcoacH","Sahangiller Esports"
8594,"Alcpwn","GCU Esports"
13448,"AlDBoOR","RTG eSports"
14767,"Aldebaran","Cyber Wolves Esports"
15358,"aldenS","Team Volted"
7056,"Aldicto","Gaming Maniacs Impact 2"
8799,"alduus",""
53,"Ale","KOVA Esports"
18098,"ALea","Strategic FE"
4055,"Aleand","FROM NEW YORK"
18280," Alec","OddysseyGG"
14735,"alecks","Paper Rex"
18481,"aLeeeeeeeeeeKs","Purple Team"
5770,"AleeFmst","Bangu e-Sports"
3565,"aleej.sb","MeT"
10677,"Aleixx","ILURO GAMING"
3460,"alejandrinho","La MF14"
2459,"Alejo","Infinity Esports"
3248,"Alejomex","Janus Licht Esports"
9321,"AlejoXT","Rose Clan"
121,"aleks","NoKap"
14137,"Aleks","ORN e-Sports"
1196,"ALEKSANDAR","Andbox"
13534,"ALEKSANDAR","ECG"
5403,"aleksi","RogerRoger"
18746,"AlekSIs (deleted)",""
18249,"Alekss","Team Italy"
11402,"alemãoisback","Remake e-Sports"
2659,"Aleo","An Phat Computer"
239,"aLerT","Sharper Esports"
35,"Aletheia","Storks Phalanx"
12701,"Aletto","FINALITY"
11824,"Alex","Lucent Esports"
6704,"Alex","Noble Experience"
10605,"AleX","Oxygen Gaming"
12807,"ALEX",""
14170,"Alexa","Kami's Retirement Home"
7272,"Alexandeh",""
17497,"alexandra",""
9389,"AlexDior","CNG Esports"
4129,"Alexe1337","+ 22"
1061,"alexis","Cloud9 White"
6886,"alex jaa","Intense Gaming"
7380,"AlexJJ","Initiative"
9396,"Alexmeister",""
11892,"alexpalex","brainverysmall"
1785,"alexR",""
2524,"alexRr",""
17178,"AlexT","Outset Esports"
9128,"AlexTuPapi","AMZ Gaming"
1330,"AlexVA","Granit Gaming"
14936,"alexx5","Eclypse"
17574,"Alexy","TC Arise"
10152,"Alexz","YMCMB"
10068,"alez",""
9411,"alfa","CIRCE"
10375,"alfa (deleted)",""
14543,"Alfajer","Surreal Esports"
17028,"alfin","uhrbtgjmny6"
3068,"Alfo","Kamil Klein"
8531,"Algan","TEAM Sic Parvis Magna"
7826,"Algoda","Prima eSport"
8050,"Ali","Xplicit"
5494,"AlicePratulina","WildRabbits"
111,"alicpond",""
6385,"AlienJoe2","PremierGG"
13603,"Alik","Meness Mob"
2396,"Alikea","GODSENT"
14596,"alimonstr","Complexity GX3"
16776,"alimonstr (deleted)",""
11991,"Alino",""
9550,"Alive","New Team"
302,"ALIVE","Team Finest"
2111,"aljadi","Peek Advantage"
9162,"Aljoints","VantaBlack"
15552,"AlKawai","No country"
13203,"Alkka","Quimera GG"
8128,"Alkori","Banidos até 2037"
6869,"alLaBoutLv","Exorcist.ESC"
5253,"ALL CAPS","UDEC Esports"
6749,"Alle","Team Sacrifice"
6305,"Allekei",""
14796,"allex","EDGE"
1800,"Alley","BE_INFAMOUS"
18832,"All Good",""
1295,"ALLIN","SMARACIS eSports"
11406,"ALLMAN",""
1746,"allow",""
7178,"ALLOY","Hard Light Esports"
13624,"AllStar","Throw Team 6"
9134,"AllStar",""
1453,"AllStarPlayer","el bdoon"
17502,"Alluka","instalocked"
17458,"allurin","SMARACIS eSports Female"
18678,"almndra","4fun (LATAM)"
9251,"ALMO","Anonymo Esports"
10464,"Almost","KittensNpuppies"
11046,"aloclair","Team BYE"
17407,"Aloda","Exality Esports"
3939,"Aloka","Green beans"
974,"Alone","Cairo City G'zzz"
609,"AloNeFillz","Need Sponsor"
14894,"Aloush","ValorEitis"
8829,"Alove","badb0ys"
6664,"aloy","Sweet Young Boys"
6671,"ALOY",""
7225,"alpaca","ʈɘɴrou Esports"
268,"Alpacalypsee","Digital Ninjas"
15605,"Alpha","Lv10"
9845,"Alpha","EXOTIC Team"
7296,"Alphaツ","Hadi's boys"
1458,"Alphafly","HEAD HUNTERS"
9496,"AlpheN","Team Civics"
5913,"ALS","unsrandomqualquer"
13682,"AlsoFrost","Judge to World"
5971,"Alszera","Mystic e-Sports"
8561,"Altered","SFG"
5367,"AltM",""
16733,"Alu","Last Resistance"
5859,"alu2kill","Brickers"
14362,"Alu8","Invictus Gaming Academy"
11558,"Alufre","LETHAL GIRLS"
8139,"alv1n","Aldeia"
228,"alvar","NASR Esports"
15116,"alvin","Secret Esports"
5767,"ALVIN","ex-Serenity Black"
3896,"Alvinus","Ascendants"
14613,"alvz","TradeLikePros Prism"
18023,"aly","Ravens"
12077,"Aly","HDMI Port"
17573,"Aly","TC Arise"
13794,"alyaL","Fancy United Esports"
4853,"alyaL (deleted)",""
11788,"alyee",""
17506,"Alyiatoph","Glitchpop Gals"
18601,"Alymira","Bonk Babes"
16858,"alyssa","Aricat.Aresta"
18058,"ALYX","7S Sakura"
9262,"ALYX","Team 7AM"
14354,"ALZ","Number One Player"
1280,"AM3LIE","Don't Fake It"
11512,"am4nda","FURB E-SPORTS"
4443,"amadien","Baking Company"
2190,"AMANDiiNEk","MCES"
1856,"Amandine","Team Ex6Tenz"
16189,"amar","Deez Nuts"
927,"Amaterasu","Velocity Gaming"
13820,"AMAXIMUM","RGB Gaming"
12522,"Amazingboyy","The avengerss"
8655,"AmazingMan123","GamerDuderGuys"
1214,"Ambi","Giants Gaming"
1558,"aME","AARDS"
1729,"AmeKen","SunSister Rapid"
1585,"Amenhola","Five Ace e-Sports"
1516,"AmeyaSaiyajin","God Particles"
1557,"amidib/xZk","Born to win"
2805,"Amiel","Aether Esports"
3703,"Amiguito","AcidPingWin"
17622,"AmiKaii","KRUSH"
2201,"Amilwa","Team Heretics"
2284,"AmineFrost","BLIND HUNTERS"
18617,"aMinka","Nebula Female"
16726,"Amir","WeBareBears"
12988,"AMIR2h","Team BLINK"
9034,"Amireallypro","Lag!"
18660,"Amita","E-Natolian Sports Club Fem"
11221,"Amity","UNLUCKY"
15953,"Ammaz","Team Aquiver"
16197,"ammzij","Nope"
14149,"amnesia","CLG Red"
12757,"Amon","PHODON.FRAGSTER"
16532,"amour","Indigo Children"
2429,"amp","Leftovers EU"
12646,"Amp1o",""
17148,"AmR","OCCUPY Esports"
7307,"AMRA","The.BOX by @Infinity Area"
17058,"Amslo","Old Man Gaming"
7158,"An6el","Zenshu Esports"
17434,"Ana #auau","MADCHEN"
17990,"ANABALA","Breakout"
11553,"Anabidu","RDW Esports Fem"
17430,"AnaBolizante","Unitas"
12293,"AnadesX",""
13666,"Anafof","Las Ladies"
18406,"Anairam","Dream Chasers"
8881,"Anaiz",""
9784,"anak1n","Nascidos Pro Game"
3084,"Anaks","GoNGo Prince"
13668,"analu","Space Two"
11503,"Anami","SACERS"
12640,"ananas",""
18464,"AnaPau","Kings of the North Girls"
17063,"Anashi","0Zero"
12335,"Anaskin",""
17803,"AnaTheBanana","Red Moon"
11120,"anAzik","corsa rebaixado"
15553,"anbasa","IXA"
10100,"anbu",""
13509,"Anc1enT",""
10601,"Anchor","Duelist Players"
16696,"AnchoR","Team Nasi Lemak"
10389,"Ancu","Catalyst Esports"
6205,"And","FAKEZINHU"
6073,"aNd1","no you have a molho"
15965,"Ander","OPWOLF"
1711,"Andersin","DarkZero Esports"
4735,"andersJ","A SEITA"
6416,"Anderzz","VIRTUOSO"
14203,"Andevu","Generetic Team Name"
2365,"andik","123"
8229,"andJ (deleted)",""
18515,"Andmarzag","5 Muskateers"
8426,"andr","Elvin and the Hoodmunks"
13835,"Andr0idDDD","Lethal Esports"
13169,"andrade","Proud Lion"
4783,"andre1",""
18777,"Andrea","Team Mystic Venus"
17780,"AndreaNya","Gun Gals Plus"
18442,"Andrehs","PRS Esports"
13466,"Andrelele","Team Mayan"
2802,"ANDRES","The Paw Brothers"
9179,"AndreSG","Grow uP eSports"
3544,"Andrewchl","Pana.Rabbit"
16361,"AndrewmanX","Almas Muertas"
3286,"andrEX","Unique"
8149,"ANDREZ1NN","RJ45"
493,"ANDROID","NRG Esports"
13191,"Anduril","westSide"
8423,"andy","Elvin and the Hoodmunks"
17160,"Andy","FlamexSerenity"
1948,"andyCape","XIOP"
6975,"Andyfooooo","In The Lab"
11096,"andzera","Nyx"
11479,"Anezka","Rapinas"
10091,"Ang3L","Logan Paulers"
673,"Ange","DarkZero Esports"
